UF;COUNT_MUNICIPIOS;COUNT_BENEFICIADOS;SUM_PAGAMENTOS;ANO_MES_PAGAMENTO
AC;22;0;4485163220;2010
AL;102;0;34461852680;2010
AM;62;0;20792064646;2010
AP;16;0;2401224220;2010
BA;417;0;133678157286;2010
CE;184;0;70417319972;2010
DF;1;0;747207770;2010
ES;78;0;14620506850;2010
GO;246;0;25967743310;2010
MA;217;0;74879568750;2010
MG;853;0;99248569870;2010
MS;78;0;11465429950;2010
MT;141;0;14400640580;2010
PA;143;0;54577097440;2010
PB;223;0;39911322260;2010
PE;185;0;68846525906;2010
PI;224;0;41633922270;2010
PR;399;0;39203065720;2010
RJ;92;0;23592775350;2010
RN;167;0;30034625090;2010
RO;52;0;10735696690;2010
RR;15;0;2975434780;2010
RS;496;0;39357253680;2010
SC;293;0;14649466900;2010
SE;75;0;19844343460;2010
SP;645;0;71009688783;2010
TO;139;0;14409035500;2010
