UF;COUNT_MUNICIPIOS;COUNT_BENEFICIADOS;SUM_PAGAMENTOS;ANO_MES_PAGAMENTO
AC;22;0;3344209990;2007
AL;103;0;23761911100;2007
AM;62;0;13622470560;2007
AP;16;0;1874837580;2007
BA;418;0;101254454140;2007
CE;184;0;59027423118;2007
DF;2;0;310856950;2007
ES;79;0;12249444740;2007
GO;246;0;16585572450;2007
MA;217;0;56084153100;2007
MG;854;0;73058727180;2007
MS;78;0;6942522860;2007
MT;141;0;9025100230;2007
PA;143;0;37962793650;2007
PB;224;0;29521388110;2007
PE;185;0;54895348580;2007
PI;224;0;27551971520;2007
PR;399;0;29679131955;2007
RJ;92;0;17030409840;2007
RN;168;0;20974175870;2007
RO;52;0;6666351990;2007
RR;15;0;1573327330;2007
RS;497;0;29745594940;2007
SC;293;0;10632932200;2007
SE;75;0;13998038750;2007
SP;645;0;57272940649;2007
TO;140;0;8843399700;2007
