UF;COUNT_MUNICIPIOS;COUNT_BENEFICIADOS;SUM_PAGAMENTOS;ANO_MES_PAGAMENTO
AC;22;0;4891321100;2009
AL;102;0;31618401000;2009
AM;62;0;17737887677;2009
AP;16;0;2080509320;2009
BA;417;0;125287963161;2009
CE;184;0;66693558757;2009
DF;1;0;339148420;2009
ES;78;0;13842153710;2009
GO;246;0;22678008140;2009
MA;217;0;67830140470;2009
MG;853;0;86779482770;2009
MS;78;0;9553200750;2009
MT;141;0;11754650000;2009
PA;143;0;49542554210;2009
PB;223;0;36349532280;2009
PE;185;0;63996846370;2009
PI;223;0;36210685420;2009
PR;399;0;34974653970;2009
RJ;92;0;21753749314;2009
RN;167;0;27277652760;2009
RO;52;0;9383272820;2009
RR;15;0;2629356410;2009
RS;496;0;36863952760;2009
SC;293;0;13034569900;2009
SE;75;0;17336945380;2009
SP;645;0;63810700592;2009
TO;139;0;12046800000;2009
