UF;COUNT_MUNICIPIOS;COUNT_BENEFICIADOS;SUM_PAGAMENTOS;ANO_MES_PAGAMENTO
AC;22;0;4348377990;2008
AL;102;0;27621775750;2008
AM;62;0;16324495880;2008
AP;16;0;2531847770;2008
BA;417;0;117866136067;2008
CE;184;0;63240858331;2008
DF;1;0;345279210;2008
ES;78;0;13207000990;2008
GO;246;0;19030225410;2008
MA;217;0;61549114470;2008
MG;853;0;82036858600;2008
MS;78;0;7757186350;2008
MT;141;0;9753034850;2008
PA;143;0;44467058750;2008
PB;223;0;34496605680;2008
PE;185;0;62569455427;2008
PI;223;0;32330189260;2008
PR;399;0;32718098250;2008
RJ;92;0;19108491697;2008
RN;167;0;24622560900;2008
RO;52;0;8034318720;2008
RR;15;0;2137736020;2008
RS;496;0;32468877120;2008
SC;293;0;11021776500;2008
SE;75;0;14087734870;2008
SP;645;0;57798761118;2008
TO;139;0;9781214500;2008
