UF;COUNT_MUNICIPIOS;COUNT_BENEFICIADOS;SUM_PAGAMENTOS;ANO_MES_PAGAMENTO
AC;22;0;2931053465;2006
AL;102;0;20682342600;2006
AM;62;0;11204184320;2006
AP;17;0;1843910550;2006
BA;418;0;91541489445;2006
CE;184;0;54817524780;2006
DF;2;0;348438532;2006
ES;79;0;12026344240;2006
GO;247;0;15312481840;2006
MA;217;0;48848323570;2006
MG;854;0;69671924775;2006
MS;78;0;5989317245;2006
MT;141;0;8083226620;2006
PA;143;0;31599980445;2006
PB;224;0;28252739355;2006
PE;185;0;48973313050;2006
PI;224;0;24681799840;2006
PR;399;0;28997650670;2006
RJ;92;0;16415114525;2006
RN;168;0;19120792115;2006
RO;52;0;5590124465;2006
RR;15;0;1091838050;2006
RS;498;0;27821317265;2006
SC;293;0;10686989600;2006
SE;75;0;13292340615;2006
SP;646;0;54264690905;2006
TO;140;0;7818131750;2006
